Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
100000.0 ; 0.319573
200000.0 ; 0.283472
300000.0 ; 0.265314
400000.0 ; 0.254764
500000.0 ; 0.24059
600000.0 ; 0.226522
700000.0 ; 0.219389
800000.0 ; 0.218255
900000.0 ; 0.22182
1000000.0 ; 0.229018
1200000.0 ; 0.250109
1400000.0 ; 0.275652
1600000.0 ; 0.301725
1800000.0 ; 0.324704
2000000.0 ; 0.337568
2200000.0 ; 0.343805
2400000.0 ; 0.339467
2600000.0 ; 0.337824
2800000.0 ; 0.3378
3000000.0 ; 0.340984
3200000.0 ; 0.347108
3400000.0 ; 0.351264
3600000.0 ; 0.352237
3800000.0 ; 0.45154
4000000.0 ; 0.442539
4200000.0 ; 0.432719
4400000.0 ; 0.419813
4600000.0 ; 0.419275
4800000.0 ; 0.413497
5000000.0 ; 0.416904
5200000.0 ; 0.413815
5400000.0 ; 0.407055
5600000.0 ; 0.408653
5800000.0 ; 0.402516
6000000.0 ; 0.404361
6200000.0 ; 0.399106
6400000.0 ; 0.392453
6600000.0 ; 0.393741
6800000.0 ; 0.388345
7000000.0 ; 0.379885
7200000.0 ; 0.380589
7400000.0 ; 0.37206
7600000.0 ; 0.371243
7800000.0 ; 0.366092
8000000.0 ; 0.356377
8500000.0 ; 0.341421
9000000.0 ; 0.322863
9500000.0 ; 0.302025
1.0E7 ; 0.277758
1.05E7 ; 0.256454
1.1E7 ; 0.232916
1.15E7 ; 0.211696
1.2E7 ; 0.193237
1.25E7 ; 0.177053
1.3E7 ; 0.160255
1.35E7 ; 0.147005
1.4E7 ; 0.134829
1.45E7 ; 0.124302
1.5E7 ; 0.114986
1.6E7 ; 0.100253
1.7E7 ; 0.08783361
1.8E7 ; 0.07870201
1.9E7 ; 0.0711705
2.0E7 ; 0.0649367
