Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
100000.0 ; 4.4103909
115000.0 ; 4.3625949
130000.0 ; 4.31480691
142500.0 ; 4.28481991
145000.0 ; 4.28383791
150000.0 ; 4.34027491
151000.0 ; 4.39399491
152000.0 ; 4.47615791
152900.0 ; 4.51948991
154000.0 ; 4.45428191
155000.0 ; 4.37339991
156000.0 ; 4.32127791
158000.0 ; 4.27115791
164000.0 ; 4.22760892
170000.0 ; 4.20211592
190000.0 ; 4.14727492
210000.0 ; 4.09244993
230000.0 ; 4.03762493
250000.0 ; 3.98280294
275000.0 ; 3.92054994
300000.0 ; 3.85829995
325000.0 ; 3.79604996
350000.0 ; 3.73380396
400000.0 ; 3.62099998
450000.0 ; 3.50820399
500000.0 ; 3.4057
550000.0 ; 3.30320403
675000.0 ; 3.0722041
800000.0 ; 2.86540417
925000.0 ; 2.67980424
1112500.0 ; 2.43690958
1300000.0 ; 2.22490341
1510000.0 ; 2.02537935
1720000.0 ; 1.85072327
1736000.0 ; 1.86239234
1740000.0 ; 1.85437636
1753125.0 ; 1.83040041
1766250.0 ; 1.82065047
1792500.0 ; 1.80350059
1845000.0 ; 1.76920082
1950000.0 ; 1.70060228
2000000.0 ; 1.6704065
2025000.0 ; 1.65909961
2050000.0 ; 1.68489972
2053000.0 ; 1.70199973
2056000.0 ; 1.72779976
2058000.0 ; 1.75419978
2060000.0 ; 1.7917998
2061000.0 ; 1.81649981
2062000.0 ; 1.84669982
2063000.0 ; 1.88359983
2064000.0 ; 1.92939984
2065000.0 ; 1.98679985
2066000.0 ; 2.05949986
2067000.0 ; 2.15249987
2068000.0 ; 2.27359988
2069000.0 ; 2.43279989
2070000.0 ; 2.6448999
2071000.0 ; 2.92969991
2072000.0 ; 3.31219992
2073000.0 ; 3.81759993
2074000.0 ; 4.45109994
2075000.0 ; 5.15649995
2076000.0 ; 5.76639996
2077000.0 ; 6.04349997
2078000.0 ; 5.87189998
2079000.0 ; 5.37279999
2080000.0 ; 4.7654
2081000.0 ; 4.19890001
2082000.0 ; 3.72820002
2083000.0 ; 3.35590003
2084000.0 ; 3.06580003
2085000.0 ; 2.83990004
2086000.0 ; 2.66260005
2087000.0 ; 2.52180006
2088000.0 ; 2.40850007
2089000.0 ; 2.31660008
2090000.0 ; 2.24070009
2091000.0 ; 2.1776001
2092000.0 ; 2.12450011
2093000.0 ; 2.07940012
2094000.0 ; 2.04070013
2095000.0 ; 2.00730014
2097000.0 ; 1.95280016
2099000.0 ; 1.91040018
2102000.0 ; 1.86240021
2104000.0 ; 1.83760023
2108000.0 ; 1.79960027
2112000.0 ; 1.77210031
2118000.0 ; 1.74240037
