Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
100000.0 ; 12.74386
110000.0 ; 12.32106
120000.0 ; 11.93129
130000.0 ; 11.57078
140000.0 ; 11.23633
150000.0 ; 10.92515
160000.0 ; 10.63487
170000.0 ; 10.36342
180000.0 ; 10.10898
190000.0 ; 9.86999
200000.0 ; 9.645063
220000.0 ; 9.232547
240000.0 ; 8.863143
260000.0 ; 8.530297
280000.0 ; 8.2287
300000.0 ; 7.954027
320000.0 ; 7.702722
340000.0 ; 7.471824
360000.0 ; 7.258857
380000.0 ; 7.061732
400000.0 ; 6.878672
420000.0 ; 6.708157
440000.0 ; 6.548882
460000.0 ; 6.399715
480000.0 ; 6.259674
500000.0 ; 6.127915
550000.0 ; 5.829932
600000.0 ; 5.569557
650000.0 ; 5.339681
700000.0 ; 5.134882
750000.0 ; 4.950965
800000.0 ; 4.784633
850000.0 ; 4.633259
900000.0 ; 4.49472
950000.0 ; 4.367289
1000000.0 ; 4.249541
1100000.0 ; 4.038519
1200000.0 ; 3.854233
1300000.0 ; 3.691327
1400000.0 ; 3.545826
1500000.0 ; 3.414712
1600000.0 ; 3.295657
1700000.0 ; 3.186827
1800000.0 ; 3.086763
1900000.0 ; 2.994283
2000000.0 ; 2.908425
2200000.0 ; 2.753484
2400000.0 ; 2.617003
2600000.0 ; 2.495402
2800000.0 ; 2.386035
3000000.0 ; 2.286895
3200000.0 ; 2.196421
3400000.0 ; 2.113381
3600000.0 ; 2.036785
3800000.0 ; 1.965823
4000000.0 ; 1.899828
4200000.0 ; 1.838244
4400000.0 ; 1.780601
4600000.0 ; 1.726497
4800000.0 ; 1.675591
5000000.0 ; 1.627582
5200000.0 ; 1.582215
5400000.0 ; 1.539263
5600000.0 ; 1.498525
5800000.0 ; 1.459826
6000000.0 ; 1.423007
6200000.0 ; 1.387929
6400000.0 ; 1.354466
6600000.0 ; 1.322505
6800000.0 ; 1.291942
7000000.0 ; 1.262685
7500000.0 ; 1.194724
8000000.0 ; 1.133291
8500000.0 ; 1.077472
9000000.0 ; 1.026528
9500000.0 ; 0.9798437
1.0E7 ; 0.9369061
1.05E7 ; 0.8972839
1.1E7 ; 0.8606105
1.15E7 ; 0.8265722
1.2E7 ; 0.7948986
1.25E7 ; 0.7653557
1.3E7 ; 0.7377393
1.35E7 ; 0.7118704
1.4E7 ; 0.6875919
1.45E7 ; 0.6647646
1.5E7 ; 0.643265
1.55E7 ; 0.6229834
1.6E7 ; 0.6038213
1.65E7 ; 0.5856907
1.7E7 ; 0.5685122
1.75E7 ; 0.5522144
1.8E7 ; 0.5367325
1.85E7 ; 0.522008
1.9E7 ; 0.5079874
1.95E7 ; 0.4946221
2.0E7 ; 0.4818679
